ID,Name,Age,Course,Score
1,Name_1,58,Course_5,96
2,Name_2,58,Course_5,79
3,Name_3,59,Course_3,54
4,Name_4,53,Course_1,84
5,Name_5,40,Course_4,71
6,Name_6,53,Course_3,67
7,Name_7,78,Course_4,82
8,Name_8,52,Course_5,97
9,Name_9,56,Course_2,74
10,Name_10,51,Course_3,60
11,Name_11,45,Course_1,71
12,Name_12,33,Course_3,57
13,Name_13,45,Course_5,80
14,Name_14,27,Course_1,84
15,Name_15,50,Course_5,59
16,Name_16,69,Course_3,52
17,Name_17,65,Course_1,97
18,Name_18,66,Course_5,54
19,Name_19,34,Course_5,96
20,Name_20,41,Course_3,59
21,Name_21,62,Course_4,94
22,Name_22,25,Course_2,57
23,Name_23,66,Course_4,77
24,Name_24,41,Course_4,64
25,Name_25,71,Course_3,89
26,Name_26,61,Course_4,90
27,Name_27,25,Course_5,94
28,Name_28,54,Course_4,82
29,Name_29,64,Course_4,96
30,Name_30,57,Course_2,83
31,Name_31,50,Course_5,55
32,Name_32,36,Course_4,80
33,Name_33,42,Course_2,61
34,Name_34,27,Course_3,59
35,Name_35,29,Course_1,89
36,Name_36,48,Course_4,98
37,Name_37,35,Course_4,53
38,Name_38,78,Course_1,58
39,Name_39,57,Course_2,96
40,Name_40,69,Course_2,58
41,Name_41,44,Course_2,72
42,Name_42,20,Course_4,60
43,Name_43,22,Course_1,54
44,Name_44,76,Course_2,71
45,Name_45,43,Course_2,69
46,Name_46,62,Course_3,55
47,Name_47,68,Course_4,57
48,Name_48,32,Course_2,91
49,Name_49,76,Course_1,50
50,Name_50,39,Course_2,61
51,Name_51,59,Course_4,88
52,Name_52,78,Course_4,86
53,Name_53,59,Course_3,74
54,Name_54,24,Course_3,92
55,Name_55,50,Course_3,98
56,Name_56,55,Course_2,70
57,Name_57,69,Course_4,98
58,Name_58,32,Course_2,65
59,Name_59,67,Course_1,94
60,Name_60,66,Course_5,83
61,Name_61,29,Course_3,87
62,Name_62,23,Course_4,53
63,Name_63,74,Course_4,61
64,Name_64,53,Course_4,64
65,Name_65,67,Course_4,96
66,Name_66,77,Course_5,67
67,Name_67,72,Course_1,56
68,Name_68,45,Course_2,65
69,Name_69,41,Course_1,56
70,Name_70,53,Course_4,78
71,Name_71,45,Course_3,54
72,Name_72,31,Course_1,74
73,Name_73,60,Course_2,67
74,Name_74,61,Course_1,97
75,Name_75,74,Course_2,99
76,Name_76,50,Course_3,56
77,Name_77,56,Course_4,73
78,Name_78,79,Course_4,82
79,Name_79,53,Course_1,73
80,Name_80,30,Course_3,69
81,Name_81,71,Course_4,94
82,Name_82,67,Course_1,89
83,Name_83,75,Course_4,81
84,Name_84,76,Course_4,55
85,Name_85,68,Course_3,83
86,Name_86,42,Course_5,62
87,Name_87,70,Course_2,75
88,Name_88,51,Course_1,68
89,Name_89,53,Course_3,59
90,Name_90,77,Course_4,91
91,Name_91,61,Course_4,74
92,Name_92,61,Course_3,61
93,Name_93,56,Course_1,98
94,Name_94,76,Course_4,80
95,Name_95,18,Course_3,64
96,Name_96,21,Course_4,64
97,Name_97,64,Course_2,90
98,Name_98,19,Course_1,88
99,Name_99,63,Course_1,74
100,Name_100,35,Course_3,75
101,Name_101,26,Course_3,90
102,Name_102,52,Course_4,88
103,Name_103,23,Course_4,79
104,Name_104,39,Course_5,82
105,Name_105,24,Course_1,50
106,Name_106,19,Course_1,99
107,Name_107,45,Course_4,63
108,Name_108,45,Course_2,51
109,Name_109,58,Course_5,73
110,Name_110,52,Course_1,99
111,Name_111,73,Course_3,67
112,Name_112,64,Course_4,71
113,Name_113,22,Course_5,94
114,Name_114,39,Course_5,84
115,Name_115,49,Course_4,65
116,Name_116,61,Course_3,52
117,Name_117,44,Course_1,84
118,Name_118,23,Course_2,74
119,Name_119,55,Course_4,59
120,Name_120,45,Course_4,96
121,Name_121,34,Course_5,85
122,Name_122,70,Course_4,80
123,Name_123,35,Course_1,62
124,Name_124,32,Course_1,66
125,Name_125,48,Course_4,98
126,Name_126,67,Course_4,82
127,Name_127,21,Course_2,65
128,Name_128,78,Course_2,87
129,Name_129,59,Course_3,54
130,Name_130,34,Course_4,98
131,Name_131,40,Course_5,98
132,Name_132,43,Course_2,56
133,Name_133,37,Course_4,72
134,Name_134,21,Course_4,87
135,Name_135,77,Course_1,81
136,Name_136,48,Course_2,92
137,Name_137,76,Course_5,93
138,Name_138,63,Course_2,72
139,Name_139,56,Course_1,75
140,Name_140,61,Course_2,82
141,Name_141,33,Course_2,56
142,Name_142,78,Course_2,89
143,Name_143,55,Course_2,97
144,Name_144,75,Course_4,64
145,Name_145,21,Course_5,50
146,Name_146,43,Course_5,55
147,Name_147,68,Course_2,98
148,Name_148,58,Course_5,99
149,Name_149,48,Course_5,74
150,Name_150,68,Course_5,66
151,Name_151,49,Course_4,53
152,Name_152,45,Course_5,91
153,Name_153,39,Course_3,75
154,Name_154,32,Course_5,96
155,Name_155,47,Course_2,74
156,Name_156,41,Course_3,77
157,Name_157,48,Course_2,76
158,Name_158,45,Course_3,54
159,Name_159,21,Course_1,90
160,Name_160,69,Course_3,86
161,Name_161,55,Course_5,93
162,Name_162,23,Course_1,80
163,Name_163,64,Course_5,84
164,Name_164,38,Course_1,50
165,Name_165,37,Course_5,75
166,Name_166,30,Course_5,70
