ID,Name,Age,Course,Score
1,Benjamin Smith,77,Course_4,95
2,Catherine Smith,42,Course_4,58
3,Michael Nash,28,Course_2,77
4,Travis Woods,79,Course_4,87
5,Sarah Gibbs,58,Course_2,63
6,John Jackson,36,Course_2,93
7,Mark Walton,26,Course_5,98
8,Lauren Barton,27,Course_5,61
9,Gina Haney,36,Course_1,54
10,Luke Davis,44,Course_5,54
11,Theresa Grimes,66,Course_3,62
12,Joshua Webb,19,Course_1,59
13,Jerry Smith,62,Course_3,75
14,Mario Cooper,56,Course_1,63
15,Christy Vasquez,52,Course_3,97
16,James Sharp,66,Course_3,55
17,Julie Morse,18,Course_4,77
18,Christine Mason,63,Course_1,98
19,Maria Fleming,62,Course_5,95
20,Rachel Hall,73,Course_2,64
21,Micheal Hawkins,75,Course_1,81
22,Sarah Anderson,78,Course_3,57
23,Kari Ortega,79,Course_3,66
24,Seth Riley,54,Course_3,83
25,Deborah Cole,69,Course_2,92
26,Robert Santos,25,Course_5,72
27,Jennifer Gonzales,52,Course_2,81
28,Courtney Anderson,74,Course_4,88
29,Audrey Murphy,48,Course_4,54
30,Jacob Gonzalez,25,Course_5,72
31,Anna Hernandez,49,Course_2,86
32,Jennifer Richmond,33,Course_2,88
33,Martha Miller,32,Course_4,80
34,Meredith Deleon,57,Course_3,63
35,Jessica Patton,40,Course_5,64
36,Benjamin Murphy Jr.,62,Course_5,93
37,Brenda Wright,60,Course_2,94
38,Michael Bryant,50,Course_2,63
39,Jesus Coleman,23,Course_2,88
40,Amy Thompson,46,Course_1,92
41,Ashley Clark,51,Course_3,59
42,David Duncan,20,Course_2,99
43,Deanna Phillips,69,Course_3,67
44,Stephen Pugh,77,Course_4,83
45,Samantha Harper,75,Course_1,94
46,Tina Allen,71,Course_2,62
47,Michelle Blackwell,31,Course_2,90
48,Martin Romero,46,Course_3,53
49,Michelle Ellis,65,Course_1,82
50,Katherine Lee,33,Course_4,86
51,Tanya Harrell,22,Course_2,65
52,Danielle Moran,71,Course_4,92
53,Tara Harper,60,Course_3,62
54,Cheryl Richards,41,Course_1,94
55,Elizabeth Johnson,48,Course_2,51
56,Aaron Larsen,23,Course_4,61
57,Nicole Murphy,54,Course_5,66
58,Mark Miller,39,Course_4,57
59,Desiree Hansen,75,Course_5,52
